,Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Price,Arrival_Hour,Arrival_Day,Arrival_Min,Dep_Hour,Dep_Day,Dep_Min,Journey_Day,Journey_Month,Journey_Year
3949,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,1450,1,14151,9,10,45,9,17,35,6,9,2019
3950,SpiceJet,2019-03-15,Banglore,New Delhi,BLR → DEL,170,0,5575,8,17,35,5,17,45,15,3,2019
3951,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,1610,1,14178,9,25,20,6,17,30,24,5,2019
3952,Air India,2019-12-03,Chennai,Kolkata,MAA → CCU,135,0,7082,13,17,55,11,17,40,3,12,2019
3953,SpiceJet,2019-09-05,Banglore,Delhi,BLR → DEL,175,0,4319,0,10,5,21,17,10,5,9,2019
3954,Jet Airways,2019-03-03,Delhi,Cochin,DEL → UDR → BOM → COK,1470,2,20747,18,4,50,18,17,20,3,3,2019
3955,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,850,1,13759,22,17,35,8,17,25,24,3,2019
3956,Jet Airways,2019-03-21,Delhi,Cochin,DEL → BHO → BOM → COK,1365,2,9181,4,22,25,5,17,40,21,3,2019
3957,Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,995,1,17024,18,17,50,2,17,15,3,3,2019
3958,IndiGo,2019-03-27,Delhi,Cochin,DEL → HYD → COK,320,1,5298,12,17,0,6,17,40,27,3,2019
3959,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,510,1,13364,22,17,35,14,17,5,4,1,2019
3960,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,590,1,10844,16,17,20,6,17,30,5,12,2019
3961,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,520,1,13941,4,16,40,20,17,0,15,5,2019
3962,Jet Airways,2019-12-06,Delhi,Cochin,DEL → NAG → BOM → COK,1300,2,10919,4,13,25,6,17,45,6,12,2019
3963,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,450,1,12284,13,17,15,5,17,45,18,3,2019
3964,IndiGo,2019-03-21,Delhi,Cochin,DEL → HYD → COK,825,1,6790,22,17,20,8,17,35,21,3,2019
3965,IndiGo,2019-05-18,Mumbai,Hyderabad,BOM → HYD,90,0,4392,7,17,55,6,17,25,18,5,2019
3966,Air India,2019-06-06,Delhi,Cochin,DEL → AMD → BOM → COK,2295,2,9653,19,7,15,5,17,0,6,6,2019
3967,SpiceJet,2019-06-21,Mumbai,Hyderabad,BOM → HYD,90,0,2753,7,17,15,5,17,45,21,6,2019
3968,Air India,2019-05-18,Kolkata,Banglore,CCU → HYD → BLR,965,1,6327,11,19,5,19,17,0,18,5,2019
3969,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → HYD → COK,910,1,11125,22,17,20,7,17,10,3,3,2019
3970,Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,1210,1,10262,19,7,0,22,17,50,6,6,2019
3971,Jet Airways,2019-09-06,Delhi,Cochin,DEL → BOM → COK,655,1,10262,4,10,25,17,17,30,6,9,2019
3972,Air Asia,2019-05-27,Delhi,Cochin,DEL → BLR → COK,340,1,6752,22,17,25,16,17,45,27,5,2019
3973,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,165,0,4423,8,17,50,6,17,5,27,5,2019
3974,Air Asia,2019-05-21,Banglore,Delhi,BLR → DEL,165,0,3383,13,17,55,11,17,10,21,5,2019
3975,Air India,2019-06-15,Delhi,Cochin,DEL → UDR → BOM → COK,1100,2,12121,7,16,40,13,17,20,15,6,2019
3976,Multiple carriers,2019-09-05,Delhi,Cochin,DEL → BOM → COK,830,1,9021,1,10,30,11,17,40,5,9,2019
3977,Multiple carriers,2019-06-06,Delhi,Cochin,DEL → BOM → COK,455,1,8266,19,17,15,11,17,40,6,6,2019
3978,Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,1395,1,14714,19,4,0,19,17,45,6,3,2019
3979,Air India,2019-06-27,Delhi,Cochin,DEL → BHO → BOM → COK,800,2,11386,19,17,15,5,17,55,27,6,2019
3980,Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,1400,1,14815,8,7,15,8,17,55,3,6,2019
3981,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1165,1,13843,4,7,25,9,17,0,3,6,2019
3982,IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,810,1,7191,21,17,0,7,17,30,15,5,2019
3983,SpiceJet,2019-03-03,Kolkata,Banglore,CCU → BLR,150,0,6251,19,17,45,17,17,15,3,3,2019
3984,Jet Airways,2019-03-27,Delhi,Cochin,DEL → MAA → BOM → COK,1395,2,9412,4,28,25,5,17,10,27,3,2019
3985,SpiceJet,2019-03-15,Kolkata,Banglore,CCU → BLR,140,0,3815,0,16,40,22,17,20,15,3,2019
3986,Air India,2019-05-15,Mumbai,Hyderabad,BOM → HYD,75,0,3100,20,17,45,19,17,30,15,5,2019
3987,Vistara,2019-06-21,Delhi,Cochin,DEL → COK,190,0,6216,17,17,50,14,17,40,21,6,2019
3988,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,690,1,13377,1,28,30,14,17,0,27,6,2019
3989,IndiGo,2019-03-21,Banglore,New Delhi,BLR → HYD → DEL,290,1,5694,12,17,20,7,17,30,21,3,2019
3990,Air India,2019-05-21,Kolkata,Banglore,CCU → VNS → DEL → BLR,1320,2,15107,12,22,30,14,17,30,21,5,2019
3991,Air India,2019-09-03,Delhi,Cochin,DEL → BOM → COK,1215,1,11260,19,10,15,23,17,0,3,9,2019
3992,Air India,2019-05-27,Delhi,Cochin,DEL → BOM → COK,675,1,9929,19,17,15,8,17,0,27,5,2019
3993,Air India,2019-03-21,Delhi,Cochin,DEL → MAA → COK,765,1,5642,9,22,25,20,17,40,21,3,2019
3994,Multiple carriers,2019-09-05,Delhi,Cochin,DEL → BOM → COK,750,1,15078,1,10,30,13,17,0,5,9,2019
3995,Multiple carriers,2019-12-06,Delhi,Cochin,DEL → BOM → COK,690,1,13377,1,13,30,14,17,0,6,12,2019
3996,Air India,2019-05-15,Kolkata,Banglore,CCU → DEL → COK → BLR,1035,2,16057,13,16,45,20,17,30,15,5,2019
3997,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,300,1,12284,10,17,45,5,17,45,18,3,2019
3998,Jet Airways,2019-03-18,Mumbai,Hyderabad,BOM → HYD,90,0,5678,21,17,5,19,17,35,18,3,2019
3999,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,455,1,17703,1,4,35,18,17,0,3,3,2019
4000,IndiGo,2019-03-06,Banglore,Delhi,BLR → DEL,175,0,4823,10,17,5,7,17,10,6,3,2019
4001,Air India,2019-01-04,Kolkata,Banglore,CCU → IXR → BBI → BLR,445,2,5562,13,17,15,5,17,50,4,1,2019
4002,IndiGo,2019-06-03,Delhi,Cochin,DEL → BBI → COK,355,1,13790,8,17,30,2,17,35,3,6,2019
4003,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,945,1,8586,8,2,15,16,17,30,5,1,2019
4004,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,690,1,11264,19,17,0,7,17,30,27,5,2019
4005,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,585,1,9663,4,13,40,18,17,55,5,12,2019
4006,IndiGo,2019-06-06,Delhi,Cochin,DEL → BOM → COK,750,1,6416,21,17,0,8,17,30,6,6,2019
4007,IndiGo,2019-09-03,Delhi,Cochin,DEL → BOM → COK,300,1,7725,21,17,0,16,17,0,3,9,2019
4008,Jet Airways,2019-01-06,Delhi,Cochin,DEL → NAG → BOM → COK,1320,2,13376,12,2,35,14,17,35,6,1,2019
4009,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1325,1,14231,12,25,0,13,17,55,24,3,2019
4010,Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,1015,1,19828,4,4,25,11,17,30,3,3,2019
4011,Jet Airways,2019-03-27,Mumbai,Hyderabad,BOM → HYD,85,0,8040,8,17,35,7,17,10,27,3,2019
4012,Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,165,0,25913,19,17,45,17,17,0,3,1,2019
4013,Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,600,1,16079,19,17,0,9,17,0,21,5,2019
4014,Air India,2019-03-03,Mumbai,Hyderabad,BOM → HYD,80,0,4937,22,17,25,21,17,5,3,3,2019
4015,Air India,2019-06-27,Delhi,Cochin,DEL → HYD → BOM → COK,865,2,13039,7,28,40,17,17,15,27,6,2019
4016,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,1080,1,9314,14,2,25,20,17,25,5,1,2019
4017,SpiceJet,2019-06-27,Delhi,Cochin,DEL → BLR → COK,295,1,4957,22,17,50,17,17,55,27,6,2019
4018,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,450,1,14973,11,17,30,4,17,0,3,3,2019
4019,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,475,1,14571,16,17,20,8,17,25,6,9,2019
4020,IndiGo,2019-06-05,Kolkata,Banglore,CCU → BLR,150,0,5224,16,17,55,14,17,25,5,6,2019
4021,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,585,1,11622,19,17,0,9,17,15,24,6,2019
4022,GoAir,2019-05-27,Banglore,Delhi,BLR → DEL,165,0,3419,23,17,40,20,17,55,27,5,2019
4023,Jet Airways,2019-01-06,Delhi,Cochin,DEL → BHO → BOM → COK,425,2,13344,12,17,35,5,17,30,6,1,2019
4024,IndiGo,2019-06-06,Delhi,Cochin,DEL → BOM → COK,570,1,6316,1,7,30,16,17,0,6,6,2019
4025,IndiGo,2019-06-21,Mumbai,Hyderabad,BOM → HYD,90,0,4392,18,17,25,16,17,55,21,6,2019
4026,Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,900,2,16704,4,19,25,13,17,25,18,5,2019
4027,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1025,1,8529,12,13,0,18,17,55,6,12,2019
4028,Jet Airways,2019-12-06,Delhi,Cochin,DEL → ATQ → BOM → COK,1460,2,14300,12,13,35,12,17,15,6,12,2019
4029,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,750,1,7198,1,28,30,13,17,0,27,5,2019
4030,Jet Airways,2019-12-06,Delhi,Cochin,DEL → ATQ → BOM → COK,1480,2,14300,19,13,0,18,17,20,6,12,2019
4031,Jet Airways,2019-03-04,Banglore,Delhi,BLR → DEL,185,0,7229,22,17,0,18,17,55,4,3,2019
4032,SpiceJet,2019-09-06,Kolkata,Banglore,CCU → BLR,145,0,3841,11,17,25,9,17,0,6,9,2019
4033,Jet Airways,2019-01-05,Banglore,Delhi,BLR → DEL,165,0,4030,8,17,45,6,17,0,5,1,2019
4034,Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,450,1,16079,4,22,25,20,17,55,21,5,2019
4035,IndiGo,2019-05-27,Mumbai,Hyderabad,BOM → HYD,90,0,2754,13,17,30,12,17,0,27,5,2019
4036,IndiGo,2019-03-06,Delhi,Cochin,DEL → BLR → COK,295,1,6842,10,17,5,5,17,10,6,3,2019
4037,Vistara,2019-03-24,Banglore,New Delhi,BLR → DEL,165,0,6138,12,17,35,9,17,50,24,3,2019
4038,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,520,1,12576,4,13,40,20,17,0,6,12,2019
4039,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,1730,1,13067,14,13,25,9,17,35,5,12,2019
4040,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → GAU → BLR,435,1,9358,17,17,35,10,17,20,5,6,2019
4041,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,1215,1,8586,4,10,40,8,17,25,5,9,2019
4042,Air India,2019-06-04,Banglore,Delhi,BLR → DEL,170,0,5176,16,17,10,13,17,20,4,6,2019
4043,Air India,2019-06-15,Delhi,Cochin,DEL → MAA → COK,765,1,7480,9,16,25,20,17,40,15,6,2019
4044,Air India,2019-06-06,Kolkata,Banglore,CCU → IXR → DEL → BLR,1840,2,12723,12,7,30,5,17,50,6,6,2019
4045,Air India,2019-01-04,Kolkata,Banglore,CCU → BBI → BLR,245,1,5793,13,17,15,9,17,10,4,1,2019
4046,Multiple carriers,2019-12-06,Delhi,Cochin,DEL → BOM → COK,615,1,14848,19,17,15,9,17,0,6,12,2019
4047,Air India,2019-05-15,Delhi,Cochin,DEL → AMD → BOM → COK,2295,2,10493,19,16,15,5,17,0,15,5,2019
4048,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → DEL → BLR,1295,1,11467,18,10,0,20,17,25,5,9,2019
4049,Air India,2019-05-27,Delhi,Cochin,DEL → BOM → COK,925,1,9719,19,17,15,3,17,50,27,5,2019
4050,SpiceJet,2019-04-15,Kolkata,Banglore,CCU → BLR,140,0,3873,0,16,40,22,17,20,15,4,2019
4051,IndiGo,2019-03-21,Delhi,Cochin,DEL → MAA → COK,320,1,4862,7,17,25,2,17,5,21,3,2019
4052,SpiceJet,2019-03-04,Banglore,Delhi,BLR → DEL,170,0,3971,12,17,20,9,17,30,4,3,2019
4053,Jet Airways,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,1365,1,7832,10,19,25,11,17,40,21,3,2019
4054,SpiceJet,2019-05-21,Banglore,Delhi,BLR → DEL,170,0,3625,12,17,20,9,17,30,21,5,2019
4055,Vistara,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,1550,1,8610,18,2,50,17,17,0,5,1,2019
4056,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,390,1,14486,15,17,30,9,17,0,21,3,2019
4057,SpiceJet,2019-09-05,Kolkata,Banglore,CCU → BLR,145,0,3841,11,17,25,9,17,0,5,9,2019
4058,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,875,1,13941,4,10,40,14,17,5,5,9,2019
4059,IndiGo,2019-12-05,Banglore,Delhi,BLR → DEL,175,0,4823,21,17,50,18,17,55,5,12,2019
4060,Air India,2019-01-05,Kolkata,Banglore,CCU → BBI → BOM → BLR,760,2,12009,21,17,50,9,17,10,5,1,2019
4061,SpiceJet,2019-06-21,Chennai,Kolkata,MAA → CCU,135,0,3597,10,17,35,8,17,20,21,6,2019
4062,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,575,1,21226,1,4,35,16,17,0,3,3,2019
4063,Jet Airways,2019-09-06,Delhi,Cochin,DEL → BOM → COK,1040,1,10577,12,10,35,19,17,15,6,9,2019
4064,Air Asia,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,710,1,5320,19,17,25,7,17,35,5,12,2019
4065,IndiGo,2019-03-21,Banglore,New Delhi,BLR → DEL,175,0,6860,10,17,5,7,17,10,21,3,2019
4066,SpiceJet,2019-03-21,Mumbai,Hyderabad,BOM → HYD,85,0,1759,0,22,10,22,17,45,21,3,2019
4067,Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1015,1,12242,4,28,25,11,17,30,27,3,2019
4068,SpiceJet,2019-03-06,Kolkata,Banglore,CCU → BLR,140,0,3841,0,4,40,22,17,20,6,3,2019
4069,Jet Airways,2019-05-27,Banglore,Delhi,BLR → DEL,175,0,3502,18,17,10,15,17,15,27,5,2019
4070,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,570,1,10844,23,17,35,14,17,5,5,9,2019
4071,IndiGo,2019-09-04,Kolkata,Banglore,CCU → BLR,160,0,4174,0,10,5,21,17,25,4,9,2019
4072,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → GAU → BLR,435,1,5608,17,17,35,10,17,20,6,9,2019
4073,IndiGo,2019-05-24,Kolkata,Banglore,CCU → PAT → BLR,295,1,9376,14,17,15,9,17,20,24,5,2019
4074,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1150,1,13584,16,7,20,21,17,10,5,6,2019
4075,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,645,1,7354,19,17,15,8,17,30,24,6,2019
4076,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,1335,1,10844,18,13,15,20,17,0,5,12,2019
4077,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,800,1,14388,8,13,15,18,17,55,5,12,2019
4078,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,635,1,14781,16,17,20,5,17,45,18,5,2019
4079,Air India,2019-05-27,Delhi,Cochin,DEL → JAI → BOM → COK,435,2,9653,19,17,15,12,17,0,27,5,2019
4080,Jet Airways,2019-09-06,Delhi,Cochin,DEL → BOM → COK,1105,1,10262,4,10,25,10,17,0,6,9,2019
4081,IndiGo,2019-06-06,Delhi,Cochin,DEL → HYD → COK,940,1,6674,22,17,30,6,17,50,6,6,2019
4082,IndiGo,2019-03-03,Delhi,Cochin,DEL → HYD → COK,455,1,7663,16,17,10,8,17,35,3,3,2019
4083,SpiceJet,2019-04-18,Banglore,Delhi,BLR → DEL,160,0,4319,8,17,35,5,17,55,18,4,2019
4084,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1005,1,12373,19,17,0,2,17,15,18,5,2019
4085,Jet Airways,2019-09-04,Delhi,Cochin,DEL → BOM → COK,335,1,12242,4,10,25,22,17,50,4,9,2019
4086,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,660,1,16289,19,17,0,8,17,0,27,5,2019
4087,GoAir,2019-03-06,Banglore,Delhi,BLR → DEL,165,0,3419,23,17,40,20,17,55,6,3,2019
4088,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,475,1,7851,16,17,20,8,17,25,4,1,2019
4089,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,570,1,12284,15,17,15,5,17,45,18,3,2019
4090,IndiGo,2019-06-15,Delhi,Cochin,DEL → BLR → COK,345,1,6386,7,17,45,2,17,0,15,6,2019
4091,Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,1760,2,15339,4,29,25,23,17,5,27,6,2019
4092,SpiceJet,2019-12-05,Mumbai,Hyderabad,BOM → HYD,90,0,2017,0,13,15,22,17,45,5,12,2019
4093,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BHO → BOM → COK,425,2,16274,12,17,35,5,17,30,18,5,2019
4094,IndiGo,2019-03-21,Delhi,Cochin,DEL → TRV → COK,280,1,5947,1,22,45,21,17,5,21,3,2019
4095,Jet Airways,2019-03-21,Mumbai,Hyderabad,BOM → HYD,85,0,8040,8,17,35,7,17,10,21,3,2019
4096,Jet Airways,2019-12-06,Delhi,Cochin,DEL → JAI → BOM → COK,1615,2,10368,12,13,35,9,17,40,6,12,2019
4097,Air India,2019-05-18,Delhi,Cochin,DEL → BLR → COK,1590,1,8907,23,19,0,20,17,30,18,5,2019
4098,IndiGo,2019-06-06,Mumbai,Hyderabad,BOM → HYD,90,0,4049,7,17,55,6,17,25,6,6,2019
4099,Air India,2019-03-03,Banglore,New Delhi,BLR → DEL,165,0,8588,12,17,45,10,17,0,3,3,2019
4100,Jet Airways,2019-05-27,Banglore,Delhi,BLR → DEL,180,0,7229,22,17,50,19,17,50,27,5,2019
4101,IndiGo,2019-06-05,Banglore,Delhi,BLR → DEL,180,0,3943,0,7,15,21,17,15,5,6,2019
4102,Air Asia,2019-03-05,Banglore,Delhi,BLR → DEL,170,0,4483,2,4,45,23,17,55,5,3,2019
4103,Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,1830,2,10151,18,22,30,12,17,0,21,5,2019
4104,IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,170,0,3419,1,19,0,22,17,10,18,6,2019
4105,Air India,2019-05-18,Delhi,Cochin,DEL → GOI → BOM → COK,1245,2,13486,7,19,40,10,17,55,18,5,2019
4106,Vistara,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,1350,1,8610,18,10,50,20,17,20,6,9,2019
4107,GoAir,2019-06-15,Banglore,Delhi,BLR → DEL,170,0,3898,14,17,30,11,17,40,15,6,2019
4108,Air India,2019-03-24,Kolkata,Banglore,CCU → BBI → BOM → BLR,1560,2,15187,11,25,10,9,17,10,24,3,2019
4109,IndiGo,2019-01-03,Delhi,Cochin,DEL → HYD → MAA → COK,985,2,10278,21,17,20,4,17,55,3,1,2019
4110,IndiGo,2019-04-15,Delhi,Cochin,DEL → HYD → COK,560,1,6442,16,17,10,6,17,50,15,4,2019
4111,Jet Airways,2019-03-06,Delhi,Cochin,DEL → BHO → BOM → COK,425,2,13344,12,17,35,5,17,30,6,3,2019
4112,Air India,2019-03-15,Banglore,New Delhi,BLR → HYD → DEL,1475,1,5521,8,16,50,8,17,15,15,3,2019
4113,IndiGo,2019-05-27,Chennai,Kolkata,MAA → CCU,140,0,3597,15,17,35,13,17,15,27,5,2019
4114,Air India,2019-09-03,Banglore,New Delhi,BLR → CCU → DEL,1330,1,11077,9,13,15,11,17,5,3,9,2019
4115,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,455,1,6673,1,28,35,18,17,0,27,3,2019
4116,Air India,2019-09-06,Delhi,Cochin,DEL → HYD → BOM → COK,1560,2,12392,19,10,15,17,17,15,6,9,2019
4117,Air India,2019-06-03,Mumbai,Hyderabad,BOM → MAA → HYD,965,1,10366,22,17,0,5,17,55,3,6,2019
4118,Air India,2019-06-15,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,2280,3,10703,19,16,15,5,17,15,15,6,2019
4119,Air India,2019-09-05,Delhi,Cochin,DEL → BLR → COK,795,1,7174,23,17,0,9,17,45,5,9,2019
4120,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,640,1,11087,9,16,30,22,17,50,18,3,2019
4121,Air Asia,2019-04-27,Banglore,Delhi,BLR → DEL,170,0,3383,2,28,45,23,17,55,27,4,2019
4122,Air India,2019-06-06,Kolkata,Banglore,CCU → GAU → DEL → BLR,970,2,14960,8,7,55,16,17,45,6,6,2019
4123,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,800,1,11467,9,2,45,20,17,25,5,1,2019
4124,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,390,1,6673,15,17,30,9,17,0,27,3,2019
4125,Air India,2019-06-27,Mumbai,Hyderabad,BOM → HYD,90,0,3100,15,17,25,13,17,55,27,6,2019
4126,Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,625,1,16736,16,17,10,5,17,45,3,6,2019
4127,Air India,2019-01-04,Delhi,Cochin,DEL → MAA → COK,765,1,5117,9,2,25,20,17,40,4,1,2019
4128,Jet Airways,2019-03-21,Delhi,Cochin,DEL → BDQ → BOM → COK,1925,2,11093,18,22,50,10,17,45,21,3,2019
4129,GoAir,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,495,1,6354,7,10,45,23,17,30,6,9,2019
4130,Air India,2019-03-18,Delhi,Cochin,DEL → COK,180,0,5674,17,17,10,14,17,10,18,3,2019
4131,Jet Airways,2019-05-27,Delhi,Cochin,DEL → JAI → BOM → COK,1125,2,13029,4,28,25,9,17,40,27,5,2019
4132,Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,1760,2,12819,4,26,25,23,17,5,24,6,2019
4133,Air India,2019-06-03,Banglore,New Delhi,BLR → BOM → UDR → DEL,1900,2,14143,16,7,30,8,17,50,3,6,2019
4134,IndiGo,2019-04-18,Banglore,Delhi,BLR → DEL,170,0,5740,11,17,20,8,17,30,18,4,2019
4135,GoAir,2019-03-03,Banglore,New Delhi,BLR → DEL,175,0,7646,14,17,35,11,17,40,3,3,2019
4136,Air India,2019-09-05,Delhi,Cochin,DEL → CCU → BOM → COK,1730,2,13591,19,10,15,14,17,25,5,9,2019
4137,Air India,2019-01-06,Mumbai,Hyderabad,BOM → HYD,75,0,3100,20,17,45,19,17,30,6,1,2019
4138,Jet Airways,2019-01-04,Delhi,Cochin,DEL → BOM → COK,1100,1,5406,12,2,35,18,17,15,4,1,2019
4139,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,735,1,14388,8,7,15,20,17,0,5,6,2019
4140,IndiGo,2019-09-03,Chennai,Kolkata,MAA → CCU,145,0,6297,14,17,0,11,17,35,3,9,2019
4141,Jet Airways,2019-12-05,Banglore,Delhi,BLR → DEL,180,0,7229,22,17,50,19,17,50,5,12,2019
4142,Jet Airways,2019-06-03,Delhi,Cochin,DEL → AMD → BOM → COK,1995,2,20694,4,8,25,19,17,10,3,6,2019
4143,Air Asia,2019-06-21,Banglore,Delhi,BLR → DEL,170,0,4282,7,17,45,4,17,55,21,6,2019
4144,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,840,1,13727,1,19,30,11,17,30,18,5,2019
4145,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,470,1,8614,19,17,15,11,17,25,15,6,2019
4146,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,455,1,7363,1,22,35,18,17,0,21,3,2019
4147,Air India,2019-05-15,Delhi,Cochin,DEL → GOI → BOM → COK,1275,2,11281,19,16,15,22,17,0,15,5,2019
4148,GoAir,2019-05-18,Banglore,Delhi,BLR → DEL,170,0,4340,14,17,30,11,17,40,18,5,2019
4149,IndiGo,2019-09-03,Kolkata,Banglore,CCU → BLR,160,0,4778,19,17,55,17,17,15,3,9,2019
4150,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1505,1,12898,12,28,35,11,17,30,27,5,2019
4151,IndiGo,2019-04-15,Delhi,Cochin,DEL → HYD → COK,455,1,6442,16,17,10,8,17,35,15,4,2019
4152,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,450,1,14714,19,17,0,11,17,30,24,6,2019
4153,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → HYD → COK,555,1,8018,22,17,30,13,17,15,27,6,2019
4154,Air India,2019-06-05,Kolkata,Banglore,CCU → BLR,155,0,4145,23,17,20,20,17,45,5,6,2019
4155,IndiGo,2019-09-05,Mumbai,Hyderabad,BOM → HYD,90,0,4784,18,17,25,16,17,55,5,9,2019
4156,Air India,2019-12-03,Banglore,New Delhi,BLR → MAA → DEL,480,1,11707,19,17,50,11,17,50,3,12,2019
4157,SpiceJet,2019-03-21,Kolkata,Banglore,CCU → BLR,150,0,3815,19,17,45,17,17,15,21,3,2019
4158,Air India,2019-01-03,Banglore,New Delhi,BLR → COK → DEL,920,1,21130,13,2,20,22,17,0,3,1,2019
4159,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,350,1,17024,18,17,50,13,17,0,3,6,2019
4160,SpiceJet,2019-06-21,Kolkata,Banglore,CCU → BLR,145,0,3873,11,17,25,9,17,0,21,6,2019
4161,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,1570,1,14151,19,7,10,17,17,0,6,6,2019
4162,IndiGo,2019-06-18,Kolkata,Banglore,CCU → BLR,160,0,4804,0,19,5,21,17,25,18,6,2019
4163,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1280,1,12898,4,28,25,7,17,5,27,5,2019
4164,IndiGo,2019-03-05,Banglore,Delhi,BLR → DEL,170,0,4284,1,4,0,22,17,10,5,3,2019
